Nickname,University,Capacity,Longitude,Surface,Additional Info,Year,Latitude,Stadium,Address,Conference,latitude,longitude
,University of Miami,72319.0,-80.219806,Prescription Athletic Turf,Its future is now uncertain as the University of Miami has announced that they w,1937.0,25.778028,Miami Orange Bowl,"1501 NW 3rd St, Miami, Florida 33125",ACC,25.778028,-80.219806
Doak,Florida State,82300.0,-84.304317,419 Tiftway Bermuda Grass,,1947.0,30.438136,Bobby Bowden Field at Doak Campbell Stadium,"Pensacola St & Stadium Dr, Tallahassee, Florida 32304",ACC,30.438136,-84.304317
The Flats,Georgia Tech,55000.0,-84.392858,Grass,,1913.0,33.772497,Bobby Dodd Stadium at Historic Grant Field,"155 North Ave., N.W., Atlanta, GA 30332",ACC,33.772497,-84.392858
Death Valley,Clemson,80301.0,-82.843175,Grass,,1942.0,34.678747,Frank Howard Field at Memorial Stadium,"Centennial Blvd, Clemson, SC 29634",ACC,34.678747,-82.843175
,North Carolina State,60000.0,-78.719472,Grass,,1966.0,35.800778,Carter-Finley Stadium,"5184 Trinity Rd, Raleigh, NC 27607",ACC,35.800778,-78.719472
,The University of North Carolina at Chapel Hill,60000.0,-79.047861,NA,,1927.0,35.906944,Kenan Memorial Stadium,"Stadium Dr, Chapel Hill, NC 27599",ACC,35.906944,-79.047861
,Duke,33941.0,-78.941719,Grass,,1929.0,35.995342,Wallace Wade Stadium,"Duke University, Durham, NC",ACC,35.995342,-78.941719
,Wake Forest,31500.0,-80.254722,FieldTurf,,1968.0,36.130556,BB&T Field (formerly Groves Stadium),"411 Deacon Blvd, Winston-Salem, NC 27105",ACC,36.130556,-80.254722
,Virginia Tech,66233.0,-80.418056,GreenTech ITM Natural Grass,,1965.0,37.22,Lane Stadium / Worsham Field,"Spring Rd, Blacksburg, VA 24061",ACC,37.22,-80.418056
,University of Virginia,61500.0,-78.513861,Prescription Athletic Turf,,1931.0,38.031056,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium","Whitehead Rd & Alderman Rd, Charlottesville, VA 22904",ACC,38.031056,-78.513861
,Maryland,51500.0,-76.947269,Grass,,1950.0,38.990272,Chevy Chase Bank Field at Byrd Stadium,"College Park, Maryland",ACC,38.990272,-76.947269
