CONTROL,SMSA,AGE1,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,PER,ZINC2,ROOMS,ZADEQ,ZSMHC,METRO,WEIGHT,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,IPOV,LMED,L50,L80,FMR,GLMED,GL50,GL80,APLMED,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTSTATUS
'000000000001','7600',45,3,1990,'1',1,-6,-6,'2',8,5,45000,6,'1',1010,'7',836.28301191,3,'2',98,12.083333333,1010,1010,1010,1010,45000,0,26686,84300,45522,69120,1395,94736.34,51157.6236,77677.056,102315.2472,49262.8968,74800.128,98525.7936,0.2693333333,43.981714585,2,168.62774488,3,80.64516129,2,41.004490828,2,151.39024207,3,72.401433692,2,41.004490828,2,151.39024207,3,72.401433692,2,41.004490828,2,151.39024207,3,72.401433692,2,41.004490828,2,151.39024207,3,72.401433692,2,'1 Adequate','-5','1990-1999','3 5-19 units','3 3BR','2 Renter','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','0 Not Assisted','1 Less than 30%','-5'
'000000000003','7600',62,2,1990,'1',1,-6,-6,'2',6,2,40000,5,'1',807,'7',752.85373095,3,'2',42,0,807,807,807,807,40000,0,14366,84300,33720,51200,987,94736.34,37894.536,57538.56,75789.072,42631.353,64730.88,85262.706,0.2421,52.778057501,3,278.43519421,4,101.31712259,3,37.859459914,2,224.69720173,4,81.762917933,2,37.859459914,2,224.69720173,4,81.762917933,2,37.859459914,2,224.69720173,4,81.762917933,2,37.859459914,2,224.69720173,4,81.762917933,2,'1 Adequate','-5','1990-1999','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','3 50 - 60% AMI','0 Not Assisted','1 Less than 30%','-5'
'000000000009','7600',-9,1,1990,'3',1,-6,1,'-6',10,-6,-6,4,'-6',-6,'7',643.63142802,3,'2',0,0,650,650,650,650,-9,-9,11161,84300,29505,44800,820,94736.34,33157.719,50346.24,-9,35526.1275,53942.4,71052.255,-9,-9,-9,-9,-9,-9,-9,36.592786534,2,232.95403638,4,79.268292683,2,36.592786534,2,232.95403638,4,79.268292683,2,36.592786534,2,232.95403638,4,79.268292683,2,36.592786534,2,232.95403638,4,79.268292683,2,'-5','-5','1990-1999','3 5-19 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5'
'000000000020','7600',58,4,1990,'1',1,320000,-6,'1',1,4,125000,7,'1',2996,'7',755.56732854,1,'1',350.5,83.333333333,2560.5388458,3796.2376125,2947.0753061,2491.7237772,125000,-9,22490,84300,42150,64000,1704,94736.34,47368.17,71923.2,94736.34,54947.0772,83430.912,109894.1544,0.287616,131.94514375,7,555.80257892,4,183.39201878,3,93.20018375,5,455.40931005,4,150.26636419,3,107.26959308,6,524.15745773,4,172.95042876,3,138.17796345,7,675.18676967,4,222.78389745,3,90.695407443,5,443.17008043,4,146.2279212,3,'1 Adequate','-5','1990-1999','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5'
'000000000024','7600',49,3,1995,'1',1,250000,-6,'1',1,3,85000,8,'1',2656,'7',732.53079653,1,'1',239.5,58.333333333,1959.3220149,2924.7116764,2261.3036246,1905.5602426,85000,-9,17268,84300,37935,57600,1395,94736.34,42631.353,64730.88,85262.706,49262.8968,74800.128,98525.7936,0.3749647059,99.691886392,5,492.23998147,4,152.3297491,3,79.545546129,5,453.86194462,4,140.45319103,3,91.80554825,5,523.81367259,4,162.10061825,3,118.73892387,6,677.48706889,4,209.656751,3,77.362898506,5,441.40844165,4,136.59930055,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','5 80 - 100% AMI','6 100 - 120% AMI','5 80 - 100% AMI','5 80 - 100% AMI','.','2 30% to 50%','-5'
'000000000028','7600',45,5,1995,'1',1,360000,-6,'1',1,5,117000,9,'1',2778,'7',672.88740202,1,'1',370,100,2862.5437015,4252.704814,3297.3972194,2785.1267494,117000,-9,27074,84300,45522,69120,1959.6,94736.34,51157.6236,77677.056,102315.2472,60631.2576,92061.696,121262.5152,0.2849230769,114.35245792,6,432.14892517,4,149.26515615,3,94.424685049,5,422.92143038,4,146.07795986,3,108.76888753,6,487.16809033,4,168.2688926,3,140.28093701,7,628.30831263,4,217.01902501,3,91.87098733,5,411.48360041,4,142.12730911,3,'1 Adequate','-5','1990-1999','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','6 100 - 120% AMI','.','1 Less than 30%','-5'
'000000000029','7600',-9,2,1990,'3',1,-6,1,'-6',30,-6,-6,4,'-6',-6,'1',643.63142802,4,'2',0,0,865,865,865,865,-9,-9,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,-9,42631.353,64730.88,85262.706,-9,-9,-9,-9,-9,-9,-9,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,'-5','-5','1990-1999','4 20-49 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5'
'000000000031','7600',-9,2,1990,'3',1,-6,1,'-6',30,-6,-6,4,'-6',-6,'1',643.63142802,4,'2',0,0,865,865,865,865,-9,-9,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,-9,42631.353,64730.88,85262.706,-9,-9,-9,-9,-9,-9,-9,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,40.58046199,2,310.00806379,4,87.639311044,2,'-5','-5','1990-1999','4 20-49 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','.','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5'
'000000000032','7600',17,2,1990,'1',1,-6,-6,'2',9,1,0,4,'2',850,'7',731.39935002,3,'2',0,0,850,850,850,850,0,1,11161,84300,29505,44800,987,94736.34,33157.719,50346.24,66315.438,42631.353,64730.88,85262.706,-1,0,1,0,1,0,1,39.876754557,2,304.63220142,4,86.119554205,2,39.876754557,2,304.63220142,4,86.119554205,2,39.876754557,2,304.63220142,4,86.119554205,2,39.876754557,2,304.63220142,4,86.119554205,2,'2 Moderately Inadequ','-5','1990-1999','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','1 LTE Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','1 LTE 30% AMI','1 Assisted','4 No Income','-5'
'000000000038','7600',86,1,1990,'1',1,-6,-6,'2',94,1,0,3,'1',850,'7',671.01999942,5,'2',0,0,850,850,850,850,0,0,10289,84300,29505,44800,820,94736.34,33157.719,50346.24,66315.438,35526.1275,53942.4,71052.255,0.153810339,100,6,0,1,0,1,47.852105468,2,330.44999514,4,103.65853659,3,47.852105468,2,330.44999514,4,103.65853659,3,47.852105468,2,330.44999514,4,103.65853659,3,47.852105468,2,330.44999514,4,103.65853659,3,'1 Adequate','-5','1990-1999','5 50+ units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','1 LTE Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5'
